;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:09/11/2023 at 14:52:32
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 02:00:00
;Log Settings:Sample:of period: 00:00:01
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:1919-R Photodiode 818-UV (s/n:21213)  NI1.37 (s/n:884305)

;Channel A:Details
;Name:818-UV
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:30.0nW
;Settings:Filter:OUT

;Channel A:Statistics
;Min:580.0pW             
;Max:590.0pW             
;Average:589.8pW             
;Std.Dev.:1.438pW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 09/11/2023 at 14:52:33.182968
  Timestamp   	  Channel A  	
       183.029	  5.900e-010 	
       184.029	  5.900e-010 	
       185.029	  5.900e-010 	
       186.029	  5.900e-010 	
       187.028	  5.900e-010 	
       188.028	  5.900e-010 	
       189.028	  5.900e-010 	
       190.028	  5.900e-010 	
       191.028	  5.900e-010 	
       192.027	  5.900e-010 	
       193.027	  5.900e-010 	
       194.027	  5.900e-010 	
       195.027	  5.900e-010 	
       196.027	  5.900e-010 	
       197.026	  5.900e-010 	
       198.026	  5.900e-010 	
       199.026	  5.900e-010 	
       200.026	  5.900e-010 	
       201.026	  5.900e-010 	
       202.025	  5.900e-010 	
       203.025	  5.900e-010 	
       204.025	  5.900e-010 	
       205.025	  5.900e-010 	
       206.025	  5.900e-010 	
       207.024	  5.900e-010 	
       208.024	  5.900e-010 	
       209.024	  5.900e-010 	
       210.024	  5.900e-010 	
       211.024	  5.900e-010 	
       212.023	  5.900e-010 	
       213.023	  5.900e-010 	
       214.023	  5.900e-010 	
       215.023	  5.900e-010 	
       216.023	  5.900e-010 	
       217.022	  5.900e-010 	
       218.022	  5.900e-010 	
       219.022	  5.900e-010 	
       220.022	  5.900e-010 	
       221.022	  5.800e-010 	
